"degree","scale","stars","listener.p"
"hi1","good_excellent",4,0.26
"hi1","good_excellent",5,0.74
"hi1","liked_loved",4,0.26
"hi1","liked_loved",5,0.74
"hi1","memorable_unforgettable",3,0.02
"hi1","memorable_unforgettable",4,0.16
"hi1","memorable_unforgettable",5,0.82
"hi1","palatable_delicious",4,0.36
"hi1","palatable_delicious",5,0.64
"hi1","some_all",2,0.02
"hi1","some_all",3,0.02
"hi1","some_all",4,0.38
"hi1","some_all",5,0.58
"hi2","good_excellent",3,0.38
"hi2","good_excellent",4,0.6
"hi2","good_excellent",5,0.02
"hi2","liked_loved",3,0.32
"hi2","liked_loved",4,0.66
"hi2","liked_loved",5,0.02
"hi2","memorable_unforgettable",3,0.06
"hi2","memorable_unforgettable",4,0.64
"hi2","memorable_unforgettable",5,0.3
"hi2","palatable_delicious",1,0.02
"hi2","palatable_delicious",2,0.22
"hi2","palatable_delicious",3,0.64
"hi2","palatable_delicious",4,0.1
"hi2","palatable_delicious",5,0.02
"hi2","some_all",2,0.02
"hi2","some_all",3,0.5
"hi2","some_all",4,0.46
"hi2","some_all",5,0.02
"low1","good_excellent",1,0.66
"low1","good_excellent",2,0.34
"low1","liked_loved",1,0.34
"low1","liked_loved",2,0.6
"low1","liked_loved",3,0.06
"low1","memorable_unforgettable",1,0.22
"low1","memorable_unforgettable",2,0.56
"low1","memorable_unforgettable",3,0.22
"low1","palatable_delicious",1,0.94
"low1","palatable_delicious",2,0.06
"low1","some_all",2,0.12
"low1","some_all",3,0.82
"low1","some_all",4,0.06
"low2","good_excellent",1,0.96
"low2","good_excellent",2,0.04
"low2","liked_loved",1,0.96
"low2","liked_loved",2,0.02
"low2","liked_loved",4,0.02
"low2","memorable_unforgettable",1,0.3
"low2","memorable_unforgettable",2,0.54
"low2","memorable_unforgettable",3,0.16
"low2","palatable_delicious",1,1
"low2","some_all",1,0.94
"low2","some_all",2,0.06
