degree,scale,stars,listener.p
hi,good_excellent,3,0.02
hi,good_excellent,4,0.06
hi,good_excellent,5,0.92
hi,liked_loved,3,0.02
hi,liked_loved,4,0.18
hi,liked_loved,5,0.8
hi,memorable_unforgettable,1,0.02
hi,memorable_unforgettable,3,0.06
hi,memorable_unforgettable,4,0.08
hi,memorable_unforgettable,5,0.84
hi,palatable_delicious,3,0.04
hi,palatable_delicious,4,0.4
hi,palatable_delicious,5,0.56
hi,some_all,3,0.06
hi,some_all,4,0.42
hi,some_all,5,0.52
low,good_excellent,3,0.4
low,good_excellent,4,0.56
low,good_excellent,5,0.04
low,liked_loved,2,0.02
low,liked_loved,3,0.34
low,liked_loved,4,0.62
low,liked_loved,5,0.02
low,memorable_unforgettable,3,0.02
low,memorable_unforgettable,4,0.52
low,memorable_unforgettable,5,0.46
low,palatable_delicious,2,0.28
low,palatable_delicious,3,0.58
low,palatable_delicious,4,0.12
low,palatable_delicious,5,0.02
low,some_all,2,0.12
low,some_all,3,0.82
low,some_all,4,0.06
