"scale","degree","stars","speaker.p","scalar"
"some_all","hi","1",0.092740243390684," all "
"some_all","hi","2",0.109525807805287," all "
"some_all","hi","3",0.166177087704574," all "
"some_all","hi","4",0.297524129248846," all "
"some_all","hi","5",0.334032731850608," all "
"palatable_delicious","hi","1",0.0150943396226415," delicious "
"palatable_delicious","hi","2",0.0509433962264151," delicious "
"palatable_delicious","hi","3",0.141509433962264," delicious "
"palatable_delicious","hi","4",0.390566037735849," delicious "
"palatable_delicious","hi","5",0.40188679245283," delicious "
"good_excellent","hi","1",0.0274390243902439," excellent "
"good_excellent","hi","2",0.0396341463414634," excellent "
"good_excellent","hi","3",0.11890243902439," excellent "
"good_excellent","hi","4",0.353658536585366," excellent "
"good_excellent","hi","5",0.460365853658537," excellent "
"good_excellent","low","1",0.055207949944792," good "
"good_excellent","low","2",0.107103422892897," good "
"good_excellent","low","3",0.208317997791682," good "
"good_excellent","low","4",0.373573794626426," good "
"good_excellent","low","5",0.255796834744203," good "
"liked_loved","low","1",0.100140548137737," like "
"liked_loved","low","2",0.144061841180604," like "
"liked_loved","low","3",0.194307800421644," like "
"liked_loved","low","4",0.294799718903725," like "
"liked_loved","low","5",0.26669009135629," like "
"liked_loved","hi","1",0.0200698080279232," love "
"liked_loved","hi","2",0.0636998254799302," love "
"liked_loved","hi","3",0.104712041884817," love "
"liked_loved","hi","4",0.329842931937173," love "
"liked_loved","hi","5",0.481675392670157," love "
"memorable_unforgettable","low","1",0," memorable "
"memorable_unforgettable","low","2",0.25," memorable "
"memorable_unforgettable","low","3",0.214285714285714," memorable "
"memorable_unforgettable","low","4",0.214285714285714," memorable "
"memorable_unforgettable","low","5",0.321428571428571," memorable "
"some_all","low","1",0.0743371212121212," some "
"some_all","low","2",0.115056818181818," some "
"some_all","low","3",0.208333333333333," some "
"some_all","low","4",0.334753787878788," some "
"some_all","low","5",0.267518939393939," some "
"palatable_delicious","low","1",0.0383386581469649," tasty "
"palatable_delicious","low","2",0.0638977635782748," tasty "
"palatable_delicious","low","3",0.201277955271566," tasty "
"palatable_delicious","low","4",0.431309904153355," tasty "
"palatable_delicious","low","5",0.26517571884984," tasty "
"memorable_unforgettable","hi","1",0," unforgettable "
"memorable_unforgettable","hi","2",0," unforgettable "
"memorable_unforgettable","hi","3",0," unforgettable "
"memorable_unforgettable","hi","4",0," unforgettable "
"memorable_unforgettable","hi","5",1," unforgettable "
