scale,degree,stars,speaker.cil,speaker.cih,speaker.judgment,speaker.p
good_excellent,hi,1,0.2,0.333333333,1.2,0.05
good_excellent,hi,2,0.166666667,0.166666667,1.3,0.075
good_excellent,hi,3,0.3,0.3,2.1,0.275
good_excellent,hi,4,0.333333333,0.333333333,3.433333333,0.608333333
good_excellent,hi,5,0.133333333,0.1,4.866666667,0.966666667
good_excellent,low,1,0.033333333,0.066666667,1.033333333,0.008333333
good_excellent,low,2,0.166666667,0.2,1.866666667,0.216666667
good_excellent,low,3,0.333333333,0.333333333,2.966666667,0.491666667
good_excellent,low,4,0.266666667,0.266666667,4.333333333,0.833333333
good_excellent,low,5,0.133333333,0.133333333,4.733333333,0.933333333
liked_loved,low,1,0.1,0.166666667,1.1,0.025
liked_loved,low,2,0.166666667,0.166666667,1.766666667,0.191666667
liked_loved,low,3,0.3,0.3,3.3,0.575
liked_loved,low,4,0.2,0.2,4.466666667,0.866666667
liked_loved,low,5,0.2,0.133333333,4.833333333,0.958333333
liked_loved,hi,1,0.033333333,0.066666667,1.033333333,0.008333333
liked_loved,hi,2,0.2,0.2,1.433333333,0.108333333
liked_loved,hi,3,0.266666667,0.233333333,2.233333333,0.308333333
liked_loved,hi,4,0.333333333,0.3,3.733333333,0.683333333
liked_loved,hi,5,0.133333333,0.1,4.9,0.975
memorable_unforgettable,hi,1,0.3,0.4,1.5,0.125
memorable_unforgettable,hi,2,0.366666667,0.366666667,1.733333333,0.183333333
memorable_unforgettable,hi,3,0.3,0.266666667,2.266666667,0.316666667
memorable_unforgettable,hi,4,0.333333333,0.3,3.333333333,0.583333333
memorable_unforgettable,hi,5,0.4,0.300833333,4.533333333,0.883333333
memorable_unforgettable,low,1,0.233333333,0.266666667,1.333333333,0.083333333
memorable_unforgettable,low,2,0.233333333,0.233333333,1.633333333,0.158333333
memorable_unforgettable,low,3,0.3,0.3,2.5,0.375
memorable_unforgettable,low,4,0.233333333,0.233333333,3.866666667,0.716666667
memorable_unforgettable,low,5,0.1,0.066666667,4.933333333,0.983333333
palatable_delicious,hi,1,0.1,0.133333333,1.133333333,0.033333333
palatable_delicious,hi,2,0.2,0.2,1.5,0.125
palatable_delicious,hi,3,0.333333333,0.3,2.4,0.35
palatable_delicious,hi,4,0.266666667,0.233333333,4.1,0.775
palatable_delicious,hi,5,0,0,5,1
palatable_delicious,low,1,0.266666667,0.3,1.5,0.125
palatable_delicious,low,2,0.3,0.366666667,2.433333333,0.358333333
palatable_delicious,low,3,0.3,0.333333333,3.433333333,0.608333333
palatable_delicious,low,4,0.233333333,0.233333333,4.4,0.85
palatable_delicious,low,5,0.400833333,0.333333333,4.533333333,0.883333333
some_all,hi,1,0.033333333,0.066666667,1.033333333,0.008333333
some_all,hi,2,0.2,0.233333333,1.433333333,0.108333333
some_all,hi,3,0.3,0.266666667,2.4,0.35
some_all,hi,4,0.2,0.2,3.7,0.675
some_all,hi,5,0.1,0.066666667,4.933333333,0.983333333
some_all,low,1,0.3,0.300833333,1.633333333,0.158333333
some_all,low,2,0.333333333,0.3,2.466666667,0.366666667
some_all,low,3,0.2675,0.3,3.7,0.675
some_all,low,4,0.3,0.3,4.333333333,0.833333333
some_all,low,5,0.466666667,0.4,4.3,0.825
