,scale,degree,cost
1,good_excellent,hi,0.5
2,good_excellent,low,0.5
6,liked_loved,hi,0.5
7,liked_loved,low,0.5
11,palatable_delicious,hi,0.5
12,palatable_delicious,low,0.5
16,memorable_unforgettable,hi,0.5
17,memorable_unforgettable,low,0.5
21,some_all,hi,0.5
23,some_all,low,0.5
