"scale","degree","stars","cil","cih","cnt.judgment","speaker.p"
"good_excellent","hi",1,0.0333333333333333,0.0666666666666667,1,0.0333333333333333
"good_excellent","hi",2,0.0333333333333333,0.0666666666666667,1,0.0333333333333333
"good_excellent","hi",3,0.133333333333333,0.166666666666667,6,0.2
"good_excellent","hi",4,0.133333333333333,0.1,25,0.833333333333333
"good_excellent","hi",5,0,0,30,1
"good_excellent","low",1,0.0333333333333333,0.0666666666666667,1,0.0333333333333333
"good_excellent","low",2,0.1,0.133333333333333,3,0.1
"good_excellent","low",3,0.166666666666667,0.166666666666667,19,0.633333333333333
"good_excellent","low",4,0.1,0.0333333333333333,29,0.966666666666667
"good_excellent","low",5,0,0,30,1
"liked_loved","hi",1,0.0333333333333333,0.0666666666666667,1,0.0333333333333333
"liked_loved","hi",2,0.0666666666666667,0.1,2,0.0666666666666667
"liked_loved","hi",3,0.1,0.1,3,0.1
"liked_loved","hi",4,0.166666666666667,0.134166666666666,22,0.733333333333333
"liked_loved","hi",5,0,0,30,1
"liked_loved","low",1,0,0,0,0
"liked_loved","low",2,0.0666666666666667,0.1,2,0.0666666666666667
"liked_loved","low",3,0.166666666666667,0.166666666666667,20,0.666666666666667
"liked_loved","low",4,0.0666666666666667,0.0333333333333333,29,0.966666666666667
"liked_loved","low",5,0,0,30,1
"memorable_unforgettable","hi",1,0.0333333333333333,0.0666666666666667,1,0.0333333333333333
"memorable_unforgettable","hi",2,0.0666666666666667,0.1,2,0.0666666666666667
"memorable_unforgettable","hi",3,0.0666666666666667,0.1,2,0.0666666666666667
"memorable_unforgettable","hi",4,0.166666666666667,0.2,15,0.5
"memorable_unforgettable","hi",5,0.133333333333333,0.1,26,0.866666666666667
"memorable_unforgettable","low",1,0.0333333333333333,0.0666666666666667,1,0.0333333333333333
"memorable_unforgettable","low",2,0.0333333333333333,0.0666666666666667,1,0.0333333333333333
"memorable_unforgettable","low",3,0.133333333333333,0.166666666666667,7,0.233333333333333
"memorable_unforgettable","low",4,0.166666666666667,0.133333333333333,22,0.733333333333333
"memorable_unforgettable","low",5,0.1,0.0333333333333333,29,0.966666666666667
"palatable_delicious","hi",1,0.0333333333333333,0.0666666666666667,1,0.0333333333333333
"palatable_delicious","hi",2,0,0,0,0
"palatable_delicious","hi",3,0.166666666666667,0.166666666666667,8,0.266666666666667
"palatable_delicious","hi",4,0.0666666666666667,0.0333333333333333,29,0.966666666666667
"palatable_delicious","hi",5,0.0666666666666667,0.0333333333333333,29,0.966666666666667
"palatable_delicious","low",1,0.0666666666666667,0.1,2,0.0666666666666667
"palatable_delicious","low",2,0.166666666666667,0.166666666666667,11,0.366666666666667
"palatable_delicious","low",3,0.133333333333333,0.1,27,0.9
"palatable_delicious","low",4,0.0666666666666667,0.0333333333333333,29,0.966666666666667
"palatable_delicious","low",5,0.1,0.0666666666666667,28,0.933333333333333
"some_all","hi",1,0.0333333333333333,0.0666666666666667,1,0.0333333333333333
"some_all","hi",2,0,0,0,0
"some_all","hi",3,0.0333333333333333,0.0666666666666667,1,0.0333333333333333
"some_all","hi",4,0.166666666666667,0.166666666666667,21,0.7
"some_all","hi",5,0,0,30,1
"some_all","low",1,0,0,0,0
"some_all","low",2,0.166666666666667,0.166666666666667,16,0.533333333333333
"some_all","low",3,0.133333333333333,0.1,26,0.866666666666667
"some_all","low",4,0.0666666666666667,0.0333333333333333,29,0.966666666666667
"some_all","low",5,0.1,0.1,27,0.9
