"scale","degree","stars","cil","cih","cnt.judgment","speaker.p"
"good_excellent","hi",1,0,0,0,0
"good_excellent","hi",2,0.0714285714285714,0.142857142857143,1,0.0714285714285714
"good_excellent","hi",3,0.142857142857143,0.214285714285714,2,0.142857142857143
"good_excellent","hi",4,0.214285714285714,0.142857142857143,12,0.857142857142857
"good_excellent","hi",5,0,0,14,1
"good_excellent","low",1,0.0714285714285714,0.142857142857143,1,0.0714285714285714
"good_excellent","low",2,0.0714285714285714,0.142857142857143,1,0.0714285714285714
"good_excellent","low",3,0.214285714285714,0.214285714285714,9,0.642857142857143
"good_excellent","low",4,0,0,14,1
"good_excellent","low",5,0,0,14,1
"liked_loved","hi",1,0,0,0,0
"liked_loved","hi",2,0.142857142857143,0.214285714285714,2,0.142857142857143
"liked_loved","hi",3,0.142857142857143,0.214285714285714,2,0.142857142857143
"liked_loved","hi",4,0.216071428571429,0.214285714285714,9,0.642857142857143
"liked_loved","hi",5,0,0,14,1
"liked_loved","low",1,0,0,0,0
"liked_loved","low",2,0.0714285714285714,0.142857142857143,1,0.0714285714285714
"liked_loved","low",3,0.216071428571428,0.214285714285714,10,0.714285714285714
"liked_loved","low",4,0,0,14,1
"liked_loved","low",5,0,0,14,1
"memorable_unforgettable","hi",1,0.0714285714285714,0.142857142857143,1,0.0714285714285714
"memorable_unforgettable","hi",2,0,0,0,0
"memorable_unforgettable","hi",3,0.142857142857143,0.214285714285714,2,0.142857142857143
"memorable_unforgettable","hi",4,0.144642857142857,0.216071428571427,3,0.214285714285714
"memorable_unforgettable","hi",5,0.214285714285714,0.142857142857143,12,0.857142857142857
"memorable_unforgettable","low",1,0.0714285714285714,0.142857142857143,1,0.0714285714285714
"memorable_unforgettable","low",2,0.0714285714285714,0.142857142857143,1,0.0714285714285714
"memorable_unforgettable","low",3,0.214285714285714,0.214285714285714,3,0.214285714285714
"memorable_unforgettable","low",4,0.285714285714286,0.285714285714286,9,0.642857142857143
"memorable_unforgettable","low",5,0.142857142857143,0.0714285714285714,13,0.928571428571429
"palatable_delicious","hi",1,0.0714285714285714,0.142857142857143,1,0.0714285714285714
"palatable_delicious","hi",2,0,0,0,0
"palatable_delicious","hi",3,0.214285714285714,0.214285714285714,4,0.285714285714286
"palatable_delicious","hi",4,0.142857142857143,0.0714285714285714,13,0.928571428571429
"palatable_delicious","hi",5,0,0,14,1
"palatable_delicious","low",1,0,0,0,0
"palatable_delicious","low",2,0.285714285714286,0.285714285714286,7,0.5
"palatable_delicious","low",3,0.214285714285714,0.142857142857143,12,0.857142857142857
"palatable_delicious","low",4,0.142857142857143,0.0714285714285714,13,0.928571428571429
"palatable_delicious","low",5,0.214285714285714,0.142857142857143,12,0.857142857142857
"some_all","hi",1,0.0714285714285714,0.142857142857143,1,0.0714285714285714
"some_all","hi",2,0,0,0,0
"some_all","hi",3,0,0,0,0
"some_all","hi",4,0.285714285714286,0.214285714285714,9,0.642857142857143
"some_all","hi",5,0,0,14,1
"some_all","low",1,0,0,0,0
"some_all","low",2,0.285714285714286,0.214285714285714,8,0.571428571428571
"some_all","low",3,0.214285714285714,0.214285714285714,10,0.714285714285714
"some_all","low",4,0.142857142857143,0.0714285714285714,13,0.928571428571429
"some_all","low",5,0.214285714285714,0.142857142857143,12,0.857142857142857
