,scale,degree,count,newCount
1,good_excellent,hi,3,93
2,good_excellent,low,2,92
6,liked_loved,hi,5,95
7,liked_loved,low,4,94
11,memorable_unforgettable,hi,3,93
12,memorable_unforgettable,low,1,91
16,palatable_delicious,hi,1,91
17,palatable_delicious,low,0,90
21,some_all,hi,23,113
23,some_all,low,25,115
