"degree","scale","stars","listener.p","total"
"hi1","good_excellent",4,0.288888888888889,13
"hi1","good_excellent",5,0.711111111111111,32
"hi1","liked_loved",4,0.244444444444444,11
"hi1","liked_loved",5,0.755555555555556,34
"hi1","memorable_unforgettable",4,0.177777777777778,8
"hi1","memorable_unforgettable",5,0.822222222222222,37
"hi1","palatable_delicious",4,0.4,18
"hi1","palatable_delicious",5,0.6,27
"hi1","some_all",2,0.0222222222222222,1
"hi1","some_all",4,0.4,18
"hi1","some_all",5,0.577777777777778,26
"hi2","good_excellent",3,0.4,18
"hi2","good_excellent",4,0.6,27
"hi2","liked_loved",3,0.355555555555556,16
"hi2","liked_loved",4,0.622222222222222,28
"hi2","liked_loved",5,0.0222222222222222,1
"hi2","memorable_unforgettable",3,0.0666666666666667,3
"hi2","memorable_unforgettable",4,0.666666666666667,30
"hi2","memorable_unforgettable",5,0.266666666666667,12
"hi2","palatable_delicious",1,0.0222222222222222,1
"hi2","palatable_delicious",2,0.2,9
"hi2","palatable_delicious",3,0.666666666666667,30
"hi2","palatable_delicious",4,0.0888888888888889,4
"hi2","palatable_delicious",5,0.0222222222222222,1
"hi2","some_all",2,0.0222222222222222,1
"hi2","some_all",3,0.511111111111111,23
"hi2","some_all",4,0.444444444444444,20
"hi2","some_all",5,0.0222222222222222,1
"low1","good_excellent",1,0.644444444444444,29
"low1","good_excellent",2,0.355555555555556,16
"low1","liked_loved",1,0.333333333333333,15
"low1","liked_loved",2,0.6,27
"low1","liked_loved",3,0.0666666666666667,3
"low1","memorable_unforgettable",1,0.177777777777778,8
"low1","memorable_unforgettable",2,0.6,27
"low1","memorable_unforgettable",3,0.222222222222222,10
"low1","palatable_delicious",1,0.955555555555556,43
"low1","palatable_delicious",2,0.0444444444444444,2
"low1","some_all",2,0.133333333333333,6
"low1","some_all",3,0.822222222222222,37
"low1","some_all",4,0.0444444444444444,2
"low2","good_excellent",1,0.955555555555556,43
"low2","good_excellent",2,0.0444444444444444,2
"low2","liked_loved",1,0.977777777777778,44
"low2","liked_loved",2,0.0222222222222222,1
"low2","memorable_unforgettable",1,0.288888888888889,13
"low2","memorable_unforgettable",2,0.533333333333333,24
"low2","memorable_unforgettable",3,0.177777777777778,8
"low2","palatable_delicious",1,1,45
"low2","some_all",1,0.933333333333333,42
"low2","some_all",2,0.0666666666666667,3
