"scale","degree","stars","cil","cih","cnt.judgment","speaker.p"
"good_excellent","hi",1,0.0357142857142857,0.0714285714285714,1,0.0357142857142857
"good_excellent","hi",2,0.0357142857142857,0.0714285714285714,1,0.0357142857142857
"good_excellent","hi",3,0.142857142857143,0.178571428571429,6,0.214285714285714
"good_excellent","hi",4,0.142857142857143,0.107142857142857,25,0.892857142857143
"good_excellent","hi",5,0,0,28,1
"good_excellent","low",1,0.0357142857142857,0.0714285714285714,1,0.0357142857142857
"good_excellent","low",2,0.107142857142857,0.107142857142857,3,0.107142857142857
"good_excellent","low",3,0.178571428571429,0.142857142857143,19,0.678571428571429
"good_excellent","low",4,0,0,28,1
"good_excellent","low",5,0,0,28,1
"liked_loved","hi",1,0.0357142857142857,0.0714285714285714,1,0.0357142857142857
"liked_loved","hi",2,0.0714285714285714,0.107142857142857,2,0.0714285714285714
"liked_loved","hi",3,0.107142857142857,0.107142857142857,3,0.107142857142857
"liked_loved","hi",4,0.142857142857143,0.142857142857143,21,0.75
"liked_loved","hi",5,0,0,28,1
"liked_loved","low",1,0,0,0,0
"liked_loved","low",2,0.0714285714285714,0.107142857142857,2,0.0714285714285714
"liked_loved","low",3,0.178571428571429,0.142857142857143,20,0.714285714285714
"liked_loved","low",4,0,0,28,1
"liked_loved","low",5,0,0,28,1
"memorable_unforgettable","hi",1,0.0357142857142857,0.0714285714285714,1,0.0357142857142857
"memorable_unforgettable","hi",2,0.0714285714285714,0.107142857142857,2,0.0714285714285714
"memorable_unforgettable","hi",3,0.0714285714285714,0.107142857142857,2,0.0714285714285714
"memorable_unforgettable","hi",4,0.178571428571429,0.178571428571429,15,0.535714285714286
"memorable_unforgettable","hi",5,0.142857142857143,0.107142857142857,24,0.857142857142857
"memorable_unforgettable","low",1,0.0357142857142857,0.0714285714285714,1,0.0357142857142857
"memorable_unforgettable","low",2,0.0357142857142857,0.0723214285714278,1,0.0357142857142857
"memorable_unforgettable","low",3,0.142857142857143,0.178571428571429,7,0.25
"memorable_unforgettable","low",4,0.178571428571429,0.142857142857143,22,0.785714285714286
"memorable_unforgettable","low",5,0.0714285714285714,0.0357142857142857,27,0.964285714285714
"palatable_delicious","hi",1,0.0357142857142857,0.0714285714285714,1,0.0357142857142857
"palatable_delicious","hi",2,0,0,0,0
"palatable_delicious","hi",3,0.142857142857143,0.178571428571429,8,0.285714285714286
"palatable_delicious","hi",4,0.0714285714285714,0.0357142857142857,27,0.964285714285714
"palatable_delicious","hi",5,0.0714285714285714,0.0357142857142857,27,0.964285714285714
"palatable_delicious","low",1,0.0714285714285714,0.107142857142857,2,0.0714285714285714
"palatable_delicious","low",2,0.178571428571429,0.178571428571429,11,0.392857142857143
"palatable_delicious","low",3,0.107142857142857,0.0714285714285714,26,0.928571428571429
"palatable_delicious","low",4,0.0714285714285714,0.0357142857142857,27,0.964285714285714
"palatable_delicious","low",5,0.107142857142857,0.0714285714285714,26,0.928571428571429
"some_all","hi",1,0.0357142857142857,0.0714285714285714,1,0.0357142857142857
"some_all","hi",2,0,0,0,0
"some_all","hi",3,0.0357142857142857,0.0714285714285714,1,0.0357142857142857
"some_all","hi",4,0.178571428571429,0.142857142857143,20,0.714285714285714
"some_all","hi",5,0,0,28,1
"some_all","low",1,0,0,0,0
"some_all","low",2,0.178571428571429,0.178571428571429,15,0.535714285714286
"some_all","low",3,0.142857142857143,0.107142857142857,24,0.857142857142857
"some_all","low",4,0.0714285714285714,0.0357142857142857,27,0.964285714285714
"some_all","low",5,0.142857142857143,0.107142857142857,25,0.892857142857143
