scale,degree,stars,cil,cih,cnt.judgment,speaker.p
good_excellent,hi1,1,0.043478261,0.086956522,1,0.043478261
good_excellent,hi1,2,0,0,0,0
good_excellent,hi1,3,0.130434783,0.131521739,3,0.130434783
good_excellent,hi1,4,0.217391304,0.130434783,18,0.782608696
good_excellent,hi1,5,0,0,23,1
good_excellent,hi2,1,0,0,0,0
good_excellent,hi2,2,0,0,0,0
good_excellent,hi2,3,0.173913043,0.173913043,17,0.739130435
good_excellent,hi2,4,0,0,23,1
good_excellent,hi2,5,0,0,23,1
good_excellent,mid,1,0,0,0,0
good_excellent,mid,2,0,0,0,0.2
good_excellent,mid,3,0,0,0,0.6
good_excellent,mid,4,0,0,0,0.5
good_excellent,mid,5,0,0,0,0.5
good_excellent,low1,1,0.130434783,0.130434783,20,0.869565217
good_excellent,low1,2,0.173913043,0.130434783,18,0.782608696
good_excellent,low1,3,0.086956522,0.130434783,2,0.086956522
good_excellent,low1,4,0,0,0,0
good_excellent,low1,5,0,0,0,0
good_excellent,low2,1,0.086956522,0.043478261,22,0.956521739
good_excellent,low2,2,0.173913043,0.217391304,10,0.434782609
good_excellent,low2,3,0.043478261,0.086956522,1,0.043478261
good_excellent,low2,4,0,0,0,0
good_excellent,low2,5,0,0,0,0
liked_loved,hi1,1,0,0,0,0
liked_loved,hi1,2,0.086956522,0.130434783,2,0.086956522
liked_loved,hi1,3,0.173913043,0.173913043,5,0.217391304
liked_loved,hi1,4,0.173913043,0.130434783,18,0.782608696
liked_loved,hi1,5,0,0,23,1
liked_loved,hi2,1,0,0,0,0
liked_loved,hi2,2,0,0,0,0
liked_loved,hi2,3,0.130434783,0.086956522,21,0.913043478
liked_loved,hi2,4,0,0,23,1
liked_loved,hi2,5,0,0,23,1
liked_loved,mid,1,0,0,0,0
liked_loved,mid,2,0,0,0,0.2
liked_loved,mid,3,0,0,0,0.8
liked_loved,mid,4,0,0,0,0.2
liked_loved,mid,5,0,0,0,0
liked_loved,low1,1,0.130434783,0.086956522,21,0.913043478
liked_loved,low1,2,0.173913043,0.130434783,20,0.869565217
liked_loved,low1,3,0.086956522,0.130434783,2,0.086956522
liked_loved,low1,4,0,0,0,0
liked_loved,low1,5,0.043478261,0.086956522,1,0.043478261
liked_loved,low2,1,0.086956522,0.043478261,22,0.956521739
liked_loved,low2,2,0.217391304,0.217391304,9,0.391304348
liked_loved,low2,3,0,0,0,0
liked_loved,low2,4,0,0,0,0
