"scale","degree","stars","cil","cih","cnt.judgment","speaker.p"
"good_excellent","hi1",1,0.1,0.100833333333333,3,0.1
"good_excellent","hi1",2,0.0333333333333333,0.0666666666666667,1,0.0333333333333333
"good_excellent","hi1",3,0.1,0.1,3,0.1
"good_excellent","hi1",4,0.2,0.166666666666667,19,0.633333333333333
"good_excellent","hi1",5,0,0,30,1
"good_excellent","hi2",1,0.0666666666666667,0.1,2,0.0666666666666667
"good_excellent","hi2",2,0.0666666666666667,0.1,2,0.0666666666666667
"good_excellent","hi2",3,0.166666666666667,0.166666666666667,20,0.666666666666667
"good_excellent","hi2",4,0,0,30,1
"good_excellent","hi2",5,0,0,30,1
"good_excellent","low1",1,0.0666666666666667,0.0333333333333333,29,0.966666666666667
"good_excellent","low1",2,0.133333333333333,0.1,26,0.866666666666667
"good_excellent","low1",3,0.0333333333333333,0.0666666666666667,1,0.0333333333333333
"good_excellent","low1",4,0.0666666666666667,0.1,2,0.0666666666666667
"good_excellent","low1",5,0.0333333333333333,0.0666666666666667,1,0.0333333333333333
"good_excellent","low2",1,0.1,0.1,27,0.9
"good_excellent","low2",2,0.166666666666667,0.166666666666667,18,0.6
"good_excellent","low2",3,0.0333333333333333,0.0666666666666667,1,0.0333333333333333
"good_excellent","low2",4,0.0333333333333333,0.0666666666666667,1,0.0333333333333333
"good_excellent","low2",5,0,0,0,0
"good_excellent","mid",1,0.0333333333333333,0.0666666666666667,1,0.0333333333333333
"good_excellent","mid",2,0.166666666666667,0.166666666666667,12,0.4
"good_excellent","mid",3,0.1,0.0666666666666667,28,0.933333333333333
"good_excellent","mid",4,0.166666666666667,0.166666666666667,15,0.5
"good_excellent","mid",5,0.166666666666667,0.166666666666667,15,0.5
"liked_loved","hi1",1,0.0666666666666667,0.1,2,0.0666666666666667
"liked_loved","hi1",2,0.0666666666666667,0.1,2,0.0666666666666667
"liked_loved","hi1",3,0.133333333333333,0.133333333333333,5,0.166666666666667
"liked_loved","hi1",4,0.166666666666667,0.133333333333333,23,0.766666666666667
"liked_loved","hi1",5,0,0,30,1
"liked_loved","hi2",1,0.0333333333333333,0.0666666666666667,1,0.0333333333333333
"liked_loved","hi2",2,0.0666666666666667,0.1,2,0.0666666666666667
"liked_loved","hi2",3,0.166666666666667,0.133333333333333,22,0.733333333333333
"liked_loved","hi2",4,0,0,30,1
"liked_loved","hi2",5,0.1,0.0666666666666667,28,0.933333333333333
"liked_loved","low1",1,0.1,0.1,27,0.9
"liked_loved","low1",2,0.1,0.0666666666666667,28,0.933333333333333
"liked_loved","low1",3,0.1,0.100833333333333,3,0.1
"liked_loved","low1",4,0.0666666666666667,0.1,2,0.0666666666666667
"liked_loved","low1",5,0.0333333333333333,0.0666666666666667,1,0.0333333333333333
"liked_loved","low2",1,0.1,0.1,27,0.9
"liked_loved","low2",2,0.166666666666667,0.166666666666667,16,0.533333333333333
"liked_loved","low2",3,0.0666666666666667,0.1,2,0.0666666666666667
"liked_loved","low2",4,0.0333333333333333,0.0666666666666667,1,0.0333333333333333
"liked_loved","low2",5,0.0333333333333333,0.0666666666666667,1,0.0333333333333333
"liked_loved","mid",1,0.166666666666667,0.166666666666667,9,0.3
"liked_loved","mid",2,0.166666666666667,0.166666666666667,18,0.6
"liked_loved","mid",3,0.166666666666667,0.133333333333333,23,0.766666666666667
"liked_loved","mid",4,0.0666666666666667,0.1,2,0.0666666666666667
"liked_loved","mid",5,0.0666666666666667,0.1,2,0.0666666666666667
"memorable_unforgettable","hi1",1,0.1,0.133333333333333,4,0.133333333333333
"memorable_unforgettable","hi1",2,0.133333333333333,0.133333333333333,5,0.166666666666667
"memorable_unforgettable","hi1",3,0.0666666666666667,0.1,2,0.0666666666666667
"memorable_unforgettable","hi1",4,0.166666666666667,0.166666666666667,10,0.333333333333333
"memorable_unforgettable","hi1",5,0.133333333333333,0.1,26,0.866666666666667
"memorable_unforgettable","hi2",1,0.1,0.133333333333333,5,0.166666666666667
"memorable_unforgettable","hi2",2,0.0333333333333333,0.0666666666666667,1,0.0333333333333333
"memorable_unforgettable","hi2",3,0.133333333333333,0.133333333333333,6,0.2
"memorable_unforgettable","hi2",4,0.133333333333333,0.133333333333333,24,0.8
"memorable_unforgettable","hi2",5,0,0,30,1
"memorable_unforgettable","low1",1,0.1,0.0666666666666667,28,0.933333333333333
"memorable_unforgettable","low1",2,0.0666666666666667,0.0333333333333333,29,0.966666666666667
"memorable_unforgettable","low1",3,0.166666666666667,0.166666666666667,17,0.566666666666667
"memorable_unforgettable","low1",4,0.0333333333333333,0.0666666666666667,1,0.0333333333333333
"memorable_unforgettable","low1",5,0.0333333333333333,0.0666666666666667,1,0.0333333333333333
"memorable_unforgettable","low2",1,0.166666666666667,0.133333333333333,24,0.8
"memorable_unforgettable","low2",2,0.1,0.0666666666666667,28,0.933333333333333
"memorable_unforgettable","low2",3,0.166666666666667,0.166666666666667,18,0.6
"memorable_unforgettable","low2",4,0.0333333333333333,0.0666666666666667,1,0.0333333333333333
"memorable_unforgettable","low2",5,0.0666666666666667,0.1,2,0.0666666666666667
"memorable_unforgettable","mid",1,0.166666666666667,0.166666666666667,11,0.366666666666667
"memorable_unforgettable","mid",2,0.166666666666667,0.166666666666667,20,0.666666666666667
"memorable_unforgettable","mid",3,0.1,0.0666666666666667,28,0.933333333333333
"memorable_unforgettable","mid",4,0.133333333333333,0.133333333333333,6,0.2
"memorable_unforgettable","mid",5,0.133333333333333,0.133333333333333,5,0.166666666666667
"palatable_delicious","hi1",1,0.0333333333333333,0.0666666666666667,1,0.0333333333333333
"palatable_delicious","hi1",2,0.0666666666666667,0.1,2,0.0666666666666667
"palatable_delicious","hi1",3,0.166666666666667,0.166666666666667,9,0.3
"palatable_delicious","hi1",4,0.133333333333333,0.1,26,0.866666666666667
"palatable_delicious","hi1",5,0,0,30,1
"palatable_delicious","hi2",1,0.0666666666666667,0.1,2,0.0666666666666667
"palatable_delicious","hi2",2,0.133333333333333,0.166666666666667,7,0.233333333333333
"palatable_delicious","hi2",3,0.133333333333333,0.133333333333333,25,0.833333333333333
"palatable_delicious","hi2",4,0.1,0.0666666666666667,28,0.933333333333333
"palatable_delicious","hi2",5,0,0,30,1
"palatable_delicious","low1",1,0.1,0.0666666666666667,28,0.933333333333333
"palatable_delicious","low1",2,0.166666666666667,0.166666666666667,20,0.666666666666667
"palatable_delicious","low1",3,0.0333333333333333,0.0666666666666667,1,0.0333333333333333
"palatable_delicious","low1",4,0.0666666666666667,0.1,2,0.0666666666666667
"palatable_delicious","low1",5,0.0333333333333333,0.0666666666666667,1,0.0333333333333333
"palatable_delicious","low2",1,0.1,0.0666666666666667,28,0.933333333333333
"palatable_delicious","low2",2,0.166666666666667,0.166666666666667,19,0.633333333333333
"palatable_delicious","low2",3,0,0,0,0
"palatable_delicious","low2",4,0,0,0,0
"palatable_delicious","low2",5,0.0333333333333333,0.0666666666666667,1,0.0333333333333333
"palatable_delicious","mid",1,0.166666666666667,0.166666666666667,13,0.433333333333333
"palatable_delicious","mid",2,0.166666666666667,0.133333333333333,23,0.766666666666667
"palatable_delicious","mid",3,0.133333333333333,0.1,26,0.866666666666667
"palatable_delicious","mid",4,0.1,0.1,3,0.1
"palatable_delicious","mid",5,0,0,0,0
"some_all","hi1",1,0.0666666666666667,0.1,2,0.0666666666666667
"some_all","hi1",2,0.0333333333333333,0.0666666666666667,1,0.0333333333333333
"some_all","hi1",3,0.133333333333333,0.133333333333333,6,0.2
"some_all","hi1",4,0.166666666666667,0.133333333333333,24,0.8
"some_all","hi1",5,0.0666666666666667,0.0333333333333333,29,0.966666666666667
"some_all","hi2",1,0.0666666666666667,0.1,2,0.0666666666666667
"some_all","hi2",2,0.0666666666666667,0.1,2,0.0666666666666667
"some_all","hi2",3,0.166666666666667,0.166666666666667,18,0.6
"some_all","hi2",4,0.1,0.0666666666666667,28,0.933333333333333
"some_all","hi2",5,0,0,30,1
"some_all","low1",1,0.2,0.166666666666667,17,0.566666666666667
"some_all","low1",2,0.133333333333333,0.133333333333333,25,0.833333333333333
"some_all","low1",3,0.166666666666667,0.166666666666667,16,0.533333333333333
"some_all","low1",4,0.133333333333333,0.166666666666667,7,0.233333333333333
"some_all","low1",5,0.1,0.1,3,0.1
"some_all","low2",1,0.166666666666667,0.133333333333333,24,0.8
"some_all","low2",2,0.133333333333333,0.166666666666667,7,0.233333333333333
"some_all","low2",3,0.0666666666666667,0.1,2,0.0666666666666667
"some_all","low2",4,0,0,0,0
"some_all","low2",5,0.0666666666666667,0.1,2,0.0666666666666667
"some_all","mid",1,0.0666666666666667,0.1,2,0.0666666666666667
"some_all","mid",2,0.166666666666667,0.166666666666667,14,0.466666666666667
"some_all","mid",3,0,0,30,1
"some_all","mid",4,0.0666666666666667,0.0333333333333333,29,0.966666666666667
"some_all","mid",5,0.133333333333333,0.133333333333333,25,0.833333333333333
