"","scale","alt","n"
"1","good_excellent","afwul",1
"2","good_excellent","amazing",1
"3","good_excellent","appetizing",1
"4","good_excellent","average",3
"5","good_excellent","awful",10
"6","good_excellent","bad",34
"7","good_excellent","cheap",1
"8","good_excellent","crappy",1
"9","good_excellent","decent",2
"10","good_excellent","delicious",2
"11","good_excellent","delightful",1
"12","good_excellent","disgusting",7
"13","good_excellent","excellent",3
"14","good_excellent","exquisite",1
"15","good_excellent","fair",2
"16","good_excellent","fantastic",1
"17","good_excellent","fine",3
"18","good_excellent","garbage",2
"19","good_excellent","good",2
"20","good_excellent","great",5
"21","good_excellent","gross",8
"22","good_excellent","heavenly",1
"23","good_excellent","horrendus",1
"24","good_excellent","horrible",14
"25","good_excellent","horrid",1
"26","good_excellent","horrific",1
"27","good_excellent","inadequate",1
"28","good_excellent","inedible",1
"29","good_excellent","inferior",1
"30","good_excellent","mediocre",3
"31","good_excellent","mouthwatering",1
"32","good_excellent","nasty",2
"33","good_excellent","nice",1
"34","good_excellent","ok",1
"35","good_excellent","okay",4
"36","good_excellent","outrageous",1
"37","good_excellent","outstanding",1
"38","good_excellent","perfect",1
"39","good_excellent","poor",14
"40","good_excellent","remarkable",1
"41","good_excellent","repulsive",1
"42","good_excellent","savory",1
"43","good_excellent","slop",1
"44","good_excellent","stellar",1
"45","good_excellent","stunning",1
"46","good_excellent","stupendous",1
"47","good_excellent","succulent",1
"48","good_excellent","suitable",1
"49","good_excellent","superb",2
"50","good_excellent","superior",1
"51","good_excellent","terrible",16
"52","good_excellent","unacceptable",2
"53","good_excellent","unappetizing",1
"54","good_excellent","uninspired",1
"55","good_excellent","unpalatable",1
"56","good_excellent","unsatisfactory",2
"57","good_excellent","wonder",1
"58","good_excellent","wonderful",1
"59","good_excellent","worthless",1
"60","good_excellent","yucky",1
"61","liked_loved","abhorred",1
"62","liked_loved","accepted",1
"63","liked_loved","admired",1
"64","liked_loved","adored",6
"65","liked_loved","appreciated",1
"66","liked_loved","cherished",1
"67","liked_loved","coveted",1
"68","liked_loved","criticized",1
"69","liked_loved","despised",15
"70","liked_loved","detested",5
"71","liked_loved","devoured",1
"72","liked_loved","didnt",1
"73","liked_loved","disapproved",1
"74","liked_loved","disliked",45
"75","liked_loved","dug",1
"76","liked_loved","enjoyed",6
"77","liked_loved","feared",1
"78","liked_loved","forgot",1
"79","liked_loved","hated",51
"80","liked_loved","indifferent",1
"81","liked_loved","liked",4
"82","liked_loved","loathed",13
"83","liked_loved","loved",5
"84","liked_loved","praised",1
"85","liked_loved","prized",1
"86","liked_loved","regarded",1
"87","liked_loved","regret",1
"88","liked_loved","regretted",2
"89","liked_loved","rejected",1
"90","liked_loved","relished",1
"91","liked_loved","repelled",1
"92","liked_loved","savored",2
"93","liked_loved","tolerated",3
"94","liked_loved","treasured",1
"95","liked_loved","worshiped",1
"96","memorable_unforgettable","afterthought",1
"97","memorable_unforgettable","amazing",6
"98","memorable_unforgettable","average",5
"99","memorable_unforgettable","bad",5
"100","memorable_unforgettable","bland",13
"101","memorable_unforgettable","boring",11
"102","memorable_unforgettable","classic",1
"103","memorable_unforgettable","commonplace",1
"104","memorable_unforgettable","decent",1
"105","memorable_unforgettable","disgusting",1
"106","memorable_unforgettable","distasteful",1
"107","memorable_unforgettable","dull",2
"108","memorable_unforgettable","enjoyable",1
"109","memorable_unforgettable","excellent",1
"110","memorable_unforgettable","extraordinary",1
"111","memorable_unforgettable","flavorless",1
"112","memorable_unforgettable","forgetful",2
"113","memorable_unforgettable","forgettable",40
"114","memorable_unforgettable","generic",2
"115","memorable_unforgettable","good",1
"116","memorable_unforgettable","great",2
"117","memorable_unforgettable","gross",1
"118","memorable_unforgettable","horrible",3
"119","memorable_unforgettable","humdrum",2
"120","memorable_unforgettable","incredible",1
"121","memorable_unforgettable","insignificant",2
"122","memorable_unforgettable","lackluster",1
"123","memorable_unforgettable","lame",1
"124","memorable_unforgettable","medicore",1
"125","memorable_unforgettable","mediocre",7
"126","memorable_unforgettable","memorable",1
"127","memorable_unforgettable","momentous",1
"128","memorable_unforgettable","mundane",5
"129","memorable_unforgettable","non-memorable",1
"130","memorable_unforgettable","normal",1
"131","memorable_unforgettable","nostalgic",1
"132","memorable_unforgettable","notalgic",1
"133","memorable_unforgettable","ok",2
"134","memorable_unforgettable","okay",1
"135","memorable_unforgettable","ordinary",7
"136","memorable_unforgettable","out-of-this-world",1
"137","memorable_unforgettable","overrated",1
"138","memorable_unforgettable","pedestrian",2
"139","memorable_unforgettable","perfect",1
"140","memorable_unforgettable","plain",5
"141","memorable_unforgettable","poor",1
"142","memorable_unforgettable","regrettable",1
"143","memorable_unforgettable","relished",1
"144","memorable_unforgettable","remarkable",3
"145","memorable_unforgettable","rememberable",1
"146","memorable_unforgettable","sloppy",1
"147","memorable_unforgettable","subpar",1
"148","memorable_unforgettable","superb",1
"149","memorable_unforgettable","superior",1
"150","memorable_unforgettable","terrible",3
"151","memorable_unforgettable","terrifying",1
"152","memorable_unforgettable","uneventful",1
"153","memorable_unforgettable","unforgettable",3
"154","memorable_unforgettable","uninteresting",1
"155","memorable_unforgettable","unmemorable",4
"156","memorable_unforgettable","unpleasant",1
"157","memorable_unforgettable","unremarkable",5
"158","memorable_unforgettable","wonderful",1
"159","palatable_delicious","addictive",1
"160","palatable_delicious","amazing",3
"161","palatable_delicious","atrocious",1
"162","palatable_delicious","average",1
"163","palatable_delicious","awesome",1
"164","palatable_delicious","awful",2
"165","palatable_delicious","bad",13
"166","palatable_delicious","bland",4
"167","palatable_delicious","delectable",1
"168","palatable_delicious","delicious",1
"169","palatable_delicious","devine",1
"170","palatable_delicious","digestible",1
"171","palatable_delicious","disgusting",24
"172","palatable_delicious","distasteful",1
"173","palatable_delicious","dry",1
"174","palatable_delicious","edible",2
"175","palatable_delicious","enjoyable",1
"176","palatable_delicious","excellent",2
"177","palatable_delicious","exceptional",1
"178","palatable_delicious","extraordinary",1
"179","palatable_delicious","flavorful",1
"180","palatable_delicious","flavorless",1
"181","palatable_delicious","garbage",2
"182","palatable_delicious","good",2
"183","palatable_delicious","great",5
"184","palatable_delicious","gross",16
"185","palatable_delicious","grotesque",1
"186","palatable_delicious","horrible",10
"187","palatable_delicious","horrific",1
"188","palatable_delicious","inedible",11
"189","palatable_delicious","magnificent",1
"190","palatable_delicious","marvelous",1
"191","palatable_delicious","mediocre",2
"192","palatable_delicious","molded",1
"193","palatable_delicious","mouth-watering",1
"194","palatable_delicious","mundane",1
"195","palatable_delicious","nasty",5
"196","palatable_delicious","non-palatable",1
"197","palatable_delicious","okay",2
"198","palatable_delicious","perfect",1
"199","palatable_delicious","plain",1
"200","palatable_delicious","pleasant",1
"201","palatable_delicious","poor",4
"202","palatable_delicious","rancid",1
"203","palatable_delicious","repulsive",1
"204","palatable_delicious","savory",1
"205","palatable_delicious","scrumptuous",1
"206","palatable_delicious","so-so",1
"207","palatable_delicious","tantalizing",2
"208","palatable_delicious","tasteful",1
"209","palatable_delicious","tasteless",3
"210","palatable_delicious","tasty",4
"211","palatable_delicious","terrible",6
"212","palatable_delicious","unappealing",3
"213","palatable_delicious","unappetizing",4
"214","palatable_delicious","unbelievable",1
"215","palatable_delicious","underrated",1
"216","palatable_delicious","unflavorable",1
"217","palatable_delicious","unpalatable",5
"218","palatable_delicious","unpleasant",1
"219","palatable_delicious","unsavory",1
"220","palatable_delicious","wonderful",3
"221","palatable_delicious","yucky",1
"222","palatable_delicious","yummy",3
"223","some_all","all",23
"224","some_all","alot",3
"225","some_all","bits",6
"226","some_all","completeness",1
"227","some_all","entireness",1
"228","some_all","entirety",1
"229","some_all","every",1
"230","some_all","everything",3
"231","some_all","few",7
"232","some_all","hadly",1
"233","some_all","half",3
"234","some_all","little",17
"235","some_all","lots",1
"236","some_all","majority",2
"237","some_all","most",23
"238","some_all","much",2
"239","some_all","none",39
"240","some_all","nothing",3
"241","some_all","nought",1
"242","some_all","part",2
"243","some_all","parts",4
"244","some_all","portion",1
"245","some_all","portions",3
"246","some_all","sections",1
"247","some_all","selections",1
"248","some_all","several",1
"249","some_all","some",25
"250","some_all","total",1
"251","some_all","totality",1
"252","some_all","zero",2
